Thu Jun 16 08:32:01 CEST 2016,vaf,1000000,10,8,178.0,100, 6543
Thu Jun 16 08:32:05 CEST 2016,vaf,1000000,10,16,238.1,100, 11271
Thu Jun 16 08:32:15 CEST 2016,vaf,1000000,10,100,764.9,100, 39577
Thu Jun 16 08:32:36 CEST 2016,lsh,1000000,10,1,311.2,100, 805
Thu Jun 16 08:32:40 CEST 2016,lsh,1000000,10,2,208.9,100, 706
Thu Jun 16 08:32:43 CEST 2016,lsh,1000000,10,4,253.8,100, 1937
Thu Jun 16 08:32:48 CEST 2016,lsh,1000000,10,8,297.9,100, 4030
Thu Jun 16 08:32:53 CEST 2016,lsh,1000000,10,16,334.2,100, 7622
Thu Jun 16 08:33:06 CEST 2016,lsh,1000000,10,100,960.6,100, 32428
Thu Jun 16 08:33:15 CEST 2016,pq,1000000,10,1,248.4,100, 100
Thu Jun 16 08:33:18 CEST 2016,pq,1000000,10,2,200.4,100, 100
Thu Jun 16 08:33:21 CEST 2016,pq,1000000,10,4,208.7,100, 100
Thu Jun 16 08:33:24 CEST 2016,pq,1000000,10,8,180.4,100, 100
Thu Jun 16 08:33:27 CEST 2016,pq,1000000,10,16,205.2,100, 100
Thu Jun 16 08:33:33 CEST 2016,pq,1000000,10,100,375.0,100, 100
Thu Jun 16 08:34:00 CEST 2016,ecp,1000000,50,1,132.3,100, 575
Thu Jun 16 08:34:02 CEST 2016,ecp,1000000,50,2,148.7,100, 276
Thu Jun 16 08:34:05 CEST 2016,ecp,1000000,50,4,121.5,100, 479
Thu Jun 16 08:34:07 CEST 2016,ecp,1000000,50,8,122.1,100, 613
Thu Jun 16 08:34:10 CEST 2016,ecp,1000000,50,16,151.8,100, 330
Thu Jun 16 08:34:17 CEST 2016,ecp,1000000,50,100,556.6,100, 479
Thu Jun 16 08:34:27 CEST 2016,vaf,1000000,50,1,513.4,100, 7275
Thu Jun 16 08:34:31 CEST 2016,vaf,1000000,50,2,313.7,100, 4540
Thu Jun 16 08:34:35 CEST 2016,vaf,1000000,50,4,314.7,100, 9282
Thu Jun 16 08:34:40 CEST 2016,vaf,1000000,50,8,344.7,100, 14153
Thu Jun 16 08:34:46 CEST 2016,vaf,1000000,50,16,421.6,100, 21016
Thu Jun 16 08:34:59 CEST 2016,vaf,1000000,50,100,999.1,100, 51636
Thu Jun 16 08:35:30 CEST 2016,lsh,1000000,50,1,359.9,100, 778
Thu Jun 16 08:35:35 CEST 2016,lsh,1000000,50,2,241.2,100, 715
Thu Jun 16 08:35:40 CEST 2016,lsh,1000000,50,4,235.8,100, 1901
Thu Jun 16 08:35:46 CEST 2016,lsh,1000000,50,8,297.3,100, 4051
Thu Jun 16 08:35:54 CEST 2016,lsh,1000000,50,16,370.4,100, 7617
Thu Jun 16 08:36:09 CEST 2016,lsh,1000000,50,100,960.1,100, 32466
Thu Jun 16 08:36:21 CEST 2016,pq,1000000,50,1,219.2,100, 100
Thu Jun 16 08:36:24 CEST 2016,pq,1000000,50,2,188.7,100, 100
Thu Jun 16 08:36:27 CEST 2016,pq,1000000,50,4,182.1,100, 100
Thu Jun 16 08:36:31 CEST 2016,pq,1000000,50,8,189.4,100, 100
Thu Jun 16 08:36:35 CEST 2016,pq,1000000,50,16,205.3,100, 100
Thu Jun 16 08:36:40 CEST 2016,pq,1000000,50,100,363.9,100, 100
Thu Jun 16 08:37:30 CEST 2016,ecp,1000000,128,1,97.9,100, 502
Thu Jun 16 08:37:33 CEST 2016,ecp,1000000,128,2,151.0,100, 252
Thu Jun 16 08:37:36 CEST 2016,ecp,1000000,128,4,138.9,100, 719
Thu Jun 16 08:37:38 CEST 2016,ecp,1000000,128,8,157.9,100, 491
Thu Jun 16 08:37:42 CEST 2016,ecp,1000000,128,16,176.3,100, 430
Thu Jun 16 08:37:48 CEST 2016,ecp,1000000,128,100,390.8,100, 532
Thu Jun 16 08:38:09 CEST 2016,vaf,1000000,128,1,1106.4,100, 26606
Thu Jun 16 08:38:19 CEST 2016,vaf,1000000,128,2,612.3,100, 14295
Thu Jun 16 08:38:29 CEST 2016,vaf,1000000,128,4,648.1,100, 23606
Thu Jun 16 08:38:40 CEST 2016,vaf,1000000,128,8,721.9,100, 31239
Thu Jun 16 08:38:52 CEST 2016,vaf,1000000,128,16,802.2,100, 39469
Thu Jun 16 08:39:10 CEST 2016,vaf,1000000,128,100,1240.4,100, 66394
Thu Jun 16 08:39:53 CEST 2016,lsh,1000000,128,1,331.0,100, 766
Thu Jun 16 08:39:58 CEST 2016,lsh,1000000,128,2,240.2,100, 698
Thu Jun 16 08:40:04 CEST 2016,lsh,1000000,128,4,256.1,100, 1946
Thu Jun 16 08:40:10 CEST 2016,lsh,1000000,128,8,326.4,100, 4021
Thu Jun 16 08:40:17 CEST 2016,lsh,1000000,128,16,383.4,100, 7578
Thu Jun 16 08:40:34 CEST 2016,lsh,1000000,128,100,1103.1,100, 32440
Thu Jun 16 08:40:45 CEST 2016,pq,1000000,128,1,205.3,100, 100
Thu Jun 16 08:40:49 CEST 2016,pq,1000000,128,2,188.9,100, 100
Thu Jun 16 08:40:52 CEST 2016,pq,1000000,128,4,190.9,100, 100
Thu Jun 16 08:40:56 CEST 2016,pq,1000000,128,8,182.3,100, 100
Thu Jun 16 08:40:59 CEST 2016,pq,1000000,128,16,194.7,100, 100
Thu Jun 16 08:41:05 CEST 2016,pq,1000000,128,100,381.8,100, 100
Thu Jun 16 08:43:56 CEST 2016,ecp,1000000,500,1,131.0,100, 1017
Thu Jun 16 08:44:01 CEST 2016,ecp,1000000,500,2,147.3,100, 516
Thu Jun 16 08:44:08 CEST 2016,ecp,1000000,500,4,146.9,100, 663
Thu Jun 16 08:44:12 CEST 2016,ecp,1000000,500,8,143.2,100, 1093
Thu Jun 16 08:44:17 CEST 2016,ecp,1000000,500,16,178.6,100, 487
Thu Jun 16 08:44:27 CEST 2016,ecp,1000000,500,100,412.6,100, 866
